,GEO,AGE,UNIT,SEX,INDIC_EM,Value,DATE
0,European Union (28 countries),From 15 to 24 years,Thousand persons,Total,Active population,26839.0,2007-01-01
1,European Union (28 countries),From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),22669.0,2007-01-01
2,European Union (28 countries),From 15 to 24 years,Thousand persons,Males,Active population,14665.0,2007-01-01
3,European Union (28 countries),From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),12430.0,2007-01-01
4,European Union (28 countries),From 15 to 24 years,Thousand persons,Females,Active population,12173.0,2007-01-01
5,European Union (28 countries),From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),10239.0,2007-01-01
6,European Union (28 countries),From 15 to 24 years,Percentage of total population,Total,Active population,44.0,2007-01-01
7,European Union (28 countries),From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),37.2,2007-01-01
8,European Union (28 countries),From 15 to 24 years,Percentage of total population,Males,Active population,47.4,2007-01-01
9,European Union (28 countries),From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),40.2,2007-01-01
10,European Union (28 countries),From 15 to 24 years,Percentage of total population,Females,Active population,40.5,2007-01-01
11,European Union (28 countries),From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.1,2007-01-01
12,European Union (28 countries),From 25 to 54 years,Thousand persons,Total,Active population,179115.0,2007-01-01
13,European Union (28 countries),From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),167935.0,2007-01-01
14,European Union (28 countries),From 25 to 54 years,Thousand persons,Males,Active population,97578.0,2007-01-01
15,European Union (28 countries),From 25 to 54 years,Thousand persons,Males,Total employment (resident population concept - LFS),92142.0,2007-01-01
16,European Union (28 countries),From 25 to 54 years,Thousand persons,Females,Active population,81538.0,2007-01-01
17,European Union (28 countries),From 25 to 54 years,Thousand persons,Females,Total employment (resident population concept - LFS),75793.0,2007-01-01
18,European Union (28 countries),From 25 to 54 years,Percentage of total population,Total,Active population,84.3,2007-01-01
19,European Union (28 countries),From 25 to 54 years,Percentage of total population,Total,Total employment (resident population concept - LFS),79.0,2007-01-01
20,European Union (28 countries),From 25 to 54 years,Percentage of total population,Males,Active population,91.9,2007-01-01
21,European Union (28 countries),From 25 to 54 years,Percentage of total population,Males,Total employment (resident population concept - LFS),86.7,2007-01-01
22,European Union (28 countries),From 25 to 54 years,Percentage of total population,Females,Active population,76.7,2007-01-01
23,European Union (28 countries),From 25 to 54 years,Percentage of total population,Females,Total employment (resident population concept - LFS),71.3,2007-01-01
24,European Union (28 countries),From 55 to 64 years,Thousand persons,Total,Active population,27456.0,2007-01-01
25,European Union (28 countries),From 55 to 64 years,Thousand persons,Total,Total employment (resident population concept - LFS),25960.0,2007-01-01
26,European Union (28 countries),From 55 to 64 years,Thousand persons,Males,Active population,16061.0,2007-01-01
27,European Union (28 countries),From 55 to 64 years,Thousand persons,Males,Total employment (resident population concept - LFS),15185.0,2007-01-01
28,European Union (28 countries),From 55 to 64 years,Thousand persons,Females,Active population,11396.0,2007-01-01
29,European Union (28 countries),From 55 to 64 years,Thousand persons,Females,Total employment (resident population concept - LFS),10775.0,2007-01-01
30,European Union (28 countries),From 55 to 64 years,Percentage of total population,Total,Active population,47.0,2007-01-01
31,European Union (28 countries),From 55 to 64 years,Percentage of total population,Total,Total employment (resident population concept - LFS),44.5,2007-01-01
32,European Union (28 countries),From 55 to 64 years,Percentage of total population,Males,Active population,56.8,2007-01-01
33,European Union (28 countries),From 55 to 64 years,Percentage of total population,Males,Total employment (resident population concept - LFS),53.7,2007-01-01
34,European Union (28 countries),From 55 to 64 years,Percentage of total population,Females,Active population,37.9,2007-01-01
35,European Union (28 countries),From 55 to 64 years,Percentage of total population,Females,Total employment (resident population concept - LFS),35.8,2007-01-01
36,European Union (27 countries),From 15 to 24 years,Thousand persons,Total,Active population,26645.0,2007-01-01
37,European Union (27 countries),From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),22524.0,2007-01-01
38,European Union (27 countries),From 15 to 24 years,Thousand persons,Males,Active population,14554.0,2007-01-01
39,European Union (27 countries),From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),12343.0,2007-01-01
40,European Union (27 countries),From 15 to 24 years,Thousand persons,Females,Active population,12091.0,2007-01-01
41,European Union (27 countries),From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),10181.0,2007-01-01
42,European Union (27 countries),From 15 to 24 years,Percentage of total population,Total,Active population,44.1,2007-01-01
43,European Union (27 countries),From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),37.3,2007-01-01
44,European Union (27 countries),From 15 to 24 years,Percentage of total population,Males,Active population,47.5,2007-01-01
45,European Union (27 countries),From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),40.3,2007-01-01
46,European Union (27 countries),From 15 to 24 years,Percentage of total population,Females,Active population,40.6,2007-01-01
47,European Union (27 countries),From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.2,2007-01-01
48,European Union (27 countries),From 25 to 54 years,Thousand persons,Total,Active population,177626.0,2007-01-01
49,European Union (27 countries),From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),166575.0,2007-01-01
50,European Union (27 countries),From 25 to 54 years,Thousand persons,Males,Active population,96776.0,2007-01-01
51,European Union (27 countries),From 25 to 54 years,Thousand persons,Males,Total employment (resident population concept - LFS),91400.0,2007-01-01
52,European Union (27 countries),From 25 to 54 years,Thousand persons,Females,Active population,80850.0,2007-01-01
53,European Union (27 countries),From 25 to 54 years,Thousand persons,Females,Total employment (resident population concept - LFS),75175.0,2007-01-01
54,European Union (27 countries),From 25 to 54 years,Percentage of total population,Total,Active population,84.3,2007-01-01
55,European Union (27 countries),From 25 to 54 years,Percentage of total population,Total,Total employment (resident population concept - LFS),79.0,2007-01-01
56,European Union (27 countries),From 25 to 54 years,Percentage of total population,Males,Active population,91.9,2007-01-01
57,European Union (27 countries),From 25 to 54 years,Percentage of total population,Males,Total employment (resident population concept - LFS),86.8,2007-01-01
58,European Union (27 countries),From 25 to 54 years,Percentage of total population,Females,Active population,76.7,2007-01-01
59,European Union (27 countries),From 25 to 54 years,Percentage of total population,Females,Total employment (resident population concept - LFS),71.3,2007-01-01
60,European Union (27 countries),From 55 to 64 years,Thousand persons,Total,Active population,27255.0,2007-01-01
61,European Union (27 countries),From 55 to 64 years,Thousand persons,Total,Total employment (resident population concept - LFS),25771.0,2007-01-01
62,European Union (27 countries),From 55 to 64 years,Thousand persons,Males,Active population,15930.0,2007-01-01
63,European Union (27 countries),From 55 to 64 years,Thousand persons,Males,Total employment (resident population concept - LFS),15063.0,2007-01-01
64,European Union (27 countries),From 55 to 64 years,Thousand persons,Females,Active population,11325.0,2007-01-01
65,European Union (27 countries),From 55 to 64 years,Thousand persons,Females,Total employment (resident population concept - LFS),10708.0,2007-01-01
66,European Union (27 countries),From 55 to 64 years,Percentage of total population,Total,Active population,47.1,2007-01-01
67,European Union (27 countries),From 55 to 64 years,Percentage of total population,Total,Total employment (resident population concept - LFS),44.5,2007-01-01
68,European Union (27 countries),From 55 to 64 years,Percentage of total population,Males,Active population,56.8,2007-01-01
69,European Union (27 countries),From 55 to 64 years,Percentage of total population,Males,Total employment (resident population concept - LFS),53.7,2007-01-01
70,European Union (27 countries),From 55 to 64 years,Percentage of total population,Females,Active population,38.0,2007-01-01
71,European Union (27 countries),From 55 to 64 years,Percentage of total population,Females,Total employment (resident population concept - LFS),35.9,2007-01-01
72,European Union (15 countries),From 15 to 24 years,Thousand persons,Total,Active population,21951.0,2007-01-01
73,European Union (15 countries),From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),18689.0,2007-01-01
74,European Union (15 countries),From 15 to 24 years,Thousand persons,Males,Active population,11851.0,2007-01-01
75,European Union (15 countries),From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),10119.0,2007-01-01
76,European Union (15 countries),From 15 to 24 years,Thousand persons,Females,Active population,10100.0,2007-01-01
77,European Union (15 countries),From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),8569.0,2007-01-01
78,European Union (15 countries),From 15 to 24 years,Percentage of total population,Total,Active population,48.0,2007-01-01
79,European Union (15 countries),From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),40.9,2007-01-01
80,European Union (15 countries),From 15 to 24 years,Percentage of total population,Males,Active population,51.1,2007-01-01
81,European Union (15 countries),From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),43.6,2007-01-01
82,European Union (15 countries),From 15 to 24 years,Percentage of total population,Females,Active population,44.8,2007-01-01
83,European Union (15 countries),From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),38.0,2007-01-01
84,European Union (15 countries),From 25 to 54 years,Thousand persons,Total,Active population,140745.0,2007-01-01
85,European Union (15 countries),From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),132214.0,2007-01-01
86,European Union (15 countries),From 25 to 54 years,Thousand persons,Males,Active population,77002.0,2007-01-01
87,European Union (15 countries),From 25 to 54 years,Thousand persons,Males,Total employment (resident population concept - LFS),72891.0,2007-01-01
88,European Union (15 countries),From 25 to 54 years,Thousand persons,Females,Active population,63743.0,2007-01-01
89,European Union (15 countries),From 25 to 54 years,Thousand persons,Females,Total employment (resident population concept - LFS),59323.0,2007-01-01
90,European Union (15 countries),From 25 to 54 years,Percentage of total population,Total,Active population,84.7,2007-01-01
91,European Union (15 countries),From 25 to 54 years,Percentage of total population,Total,Total employment (resident population concept - LFS),79.6,2007-01-01
92,European Union (15 countries),From 25 to 54 years,Percentage of total population,Males,Active population,92.8,2007-01-01
93,European Union (15 countries),From 25 to 54 years,Percentage of total population,Males,Total employment (resident population concept - LFS),87.8,2007-01-01
94,European Union (15 countries),From 25 to 54 years,Percentage of total population,Females,Active population,76.7,2007-01-01
95,European Union (15 countries),From 25 to 54 years,Percentage of total population,Females,Total employment (resident population concept - LFS),71.4,2007-01-01
96,European Union (15 countries),From 55 to 64 years,Thousand persons,Total,Active population,22538.0,2007-01-01
97,European Union (15 countries),From 55 to 64 years,Thousand persons,Total,Total employment (resident population concept - LFS),21291.0,2007-01-01
98,European Union (15 countries),From 55 to 64 years,Thousand persons,Males,Active population,13096.0,2007-01-01
99,European Union (15 countries),From 55 to 64 years,Thousand persons,Males,Total employment (resident population concept - LFS),12387.0,2007-01-01
100,European Union (15 countries),From 55 to 64 years,Thousand persons,Females,Active population,9442.0,2007-01-01
101,European Union (15 countries),From 55 to 64 years,Thousand persons,Females,Total employment (resident population concept - LFS),8905.0,2007-01-01
102,European Union (15 countries),From 55 to 64 years,Percentage of total population,Total,Active population,49.1,2007-01-01
103,European Union (15 countries),From 55 to 64 years,Percentage of total population,Total,Total employment (resident population concept - LFS),46.4,2007-01-01
104,European Union (15 countries),From 55 to 64 years,Percentage of total population,Males,Active population,58.3,2007-01-01
105,European Union (15 countries),From 55 to 64 years,Percentage of total population,Males,Total employment (resident population concept - LFS),55.1,2007-01-01
106,European Union (15 countries),From 55 to 64 years,Percentage of total population,Females,Active population,40.3,2007-01-01
107,European Union (15 countries),From 55 to 64 years,Percentage of total population,Females,Total employment (resident population concept - LFS),38.0,2007-01-01
108,Euro area (19 countries),From 15 to 24 years,Thousand persons,Total,Active population,16997.0,2007-01-01
109,Euro area (19 countries),From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),14449.0,2007-01-01
110,Euro area (19 countries),From 15 to 24 years,Thousand persons,Males,Active population,9313.0,2007-01-01
111,Euro area (19 countries),From 15 to 24 years,Thousand persons,Males,Total employment (resident population concept - LFS),7984.0,2007-01-01
112,Euro area (19 countries),From 15 to 24 years,Thousand persons,Females,Active population,7685.0,2007-01-01
113,Euro area (19 countries),From 15 to 24 years,Thousand persons,Females,Total employment (resident population concept - LFS),6465.0,2007-01-01
114,Euro area (19 countries),From 15 to 24 years,Percentage of total population,Total,Active population,44.1,2007-01-01
115,Euro area (19 countries),From 15 to 24 years,Percentage of total population,Total,Total employment (resident population concept - LFS),37.5,2007-01-01
116,Euro area (19 countries),From 15 to 24 years,Percentage of total population,Males,Active population,47.6,2007-01-01
117,Euro area (19 countries),From 15 to 24 years,Percentage of total population,Males,Total employment (resident population concept - LFS),40.8,2007-01-01
118,Euro area (19 countries),From 15 to 24 years,Percentage of total population,Females,Active population,40.6,2007-01-01
119,Euro area (19 countries),From 15 to 24 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.2,2007-01-01
120,Euro area (19 countries),From 25 to 54 years,Thousand persons,Total,Active population,120077.0,2007-01-01
121,Euro area (19 countries),From 25 to 54 years,Thousand persons,Total,Total employment (resident population concept - LFS),112171.0,2007-01-01
122,Euro area (19 countries),From 25 to 54 years,Thousand persons,Males,Active population,65922.0,2007-01-01
123,Euro area (19 countries),From 25 to 54 years,Thousand persons,Males,Total employment (resident population concept - LFS),62155.0,2007-01-01
124,Euro area (19 countries),From 25 to 54 years,Thousand persons,Females,Active population,54155.0,2007-01-01
125,Euro area (19 countries),From 25 to 54 years,Thousand persons,Females,Total employment (resident population concept - LFS),50016.0,2007-01-01
126,Euro area (19 countries),From 25 to 54 years,Percentage of total population,Total,Active population,84.7,2007-01-01
127,Euro area (19 countries),From 25 to 54 years,Percentage of total population,Total,Total employment (resident population concept - LFS),79.1,2007-01-01
128,Euro area (19 countries),From 25 to 54 years,Percentage of total population,Males,Active population,92.9,2007-01-01
129,Euro area (19 countries),From 25 to 54 years,Percentage of total population,Males,Total employment (resident population concept - LFS),87.6,2007-01-01
130,Euro area (19 countries),From 25 to 54 years,Percentage of total population,Females,Active population,76.4,2007-01-01
131,Euro area (19 countries),From 25 to 54 years,Percentage of total population,Females,Total employment (resident population concept - LFS),70.6,2007-01-01
132,Euro area (19 countries),From 55 to 64 years,Thousand persons,Total,Active population,17741.0,2007-01-01
133,Euro area (19 countries),From 55 to 64 years,Thousand persons,Total,Total employment (resident population concept - LFS),16640.0,2007-01-01
134,Euro area (19 countries),From 55 to 64 years,Thousand persons,Males,Active population,10403.0,2007-01-01
135,Euro area (19 countries),From 55 to 64 years,Thousand persons,Males,Total employment (resident population concept - LFS),9792.0,2007-01-01
136,Euro area (19 countries),From 55 to 64 years,Thousand persons,Females,Active population,7338.0,2007-01-01
137,Euro area (19 countries),From 55 to 64 years,Thousand persons,Females,Total employment (resident population concept - LFS),6848.0,2007-01-01
138,Euro area (19 countries),From 55 to 64 years,Percentage of total population,Total,Active population,46.2,2007-01-01
139,Euro area (19 countries),From 55 to 64 years,Percentage of total population,Total,Total employment (resident population concept - LFS),43.3,2007-01-01
140,Euro area (19 countries),From 55 to 64 years,Percentage of total population,Males,Active population,55.6,2007-01-01
141,Euro area (19 countries),From 55 to 64 years,Percentage of total population,Males,Total employment (resident population concept - LFS),52.3,2007-01-01
142,Euro area (19 countries),From 55 to 64 years,Percentage of total population,Females,Active population,37.2,2007-01-01
143,Euro area (19 countries),From 55 to 64 years,Percentage of total population,Females,Total employment (resident population concept - LFS),34.8,2007-01-01
144,Euro area (18 countries),From 15 to 24 years,Thousand persons,Total,Active population,16867.0,2007-01-01
145,Euro area (18 countries),From 15 to 24 years,Thousand persons,Total,Total employment (resident population concept - LFS),14330.0,2007-01-01
