,Time,Country,Series,Pay period,value
0,2006-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,17132.443
1,2007-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,18100.918
2,2008-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,17747.406
3,2009-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,18580.139
4,2010-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,18755.832
5,2011-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,18284.299
6,2012-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,17979.943
7,2013-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,17890.01
8,2014-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,17854.875
9,2015-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,17907.637
10,2016-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Annual,18942.762
11,2006-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.2367496
12,2007-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.7023602
13,2008-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.5324097
14,2009-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.9327602
15,2010-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,9.01723
16,2011-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.7905302
17,2012-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.6442003
18,2013-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.6009703
19,2014-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.5840702
20,2015-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,8.6094398
21,2016-01-01,Ireland,In 2015 constant prices at 2015 USD PPPs,Hourly,9.1070995
22,2006-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,19090.537
23,2007-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,20169.699
24,2008-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,19775.785
25,2009-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,20703.691
26,2010-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,20899.465
27,2011-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,20374.039
28,2012-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,20034.898
29,2013-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,19934.686
30,2014-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,19895.537
31,2015-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,19954.328
32,2016-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Annual,21107.758
33,2006-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.1780005
34,2007-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.6969995
35,2008-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.5080004
36,2009-01-01,Ireland,In 2015 constant prices at 2015 USD exchange rates,Hourly,9.9540005
