Date,INTC,MSFT,IBM,BHP,TM,AAPL,AMZN,BA,QCOM,KO,GOOG,SNE,PTR
2013-01-02,21.379999,27.620001,196.350006,79.93,95.989998,549.029976,257.309998,77.07,64.75,37.599998,723.25123,11.51,145.78999299999995
2013-01-03,21.32,27.25,195.270004,79.029999,95.370003,542.099991,258.480011,77.470001,64.449997,37.599998,723.671256,11.49,145.800003
2013-01-04,21.16,26.74,193.990005,79.400002,97.339996,526.999992,259.149994,77.690002,63.5,37.66,737.971262,11.14,145.649994
2013-01-07,21.25,26.690001,193.139999,79.68,95.529999,523.900002,268.459991,76.129997,64.010002,37.299999,734.751286,10.97,142.919998
2013-01-08,21.09,26.549999,192.869995,78.529999,93.93,525.31002,266.380005,74.129997,63.91,37.040001,733.3012269999998,10.72,141.279999
2013-01-09,21.450001,26.700001,192.320007,78.959999,95.660004,517.100006,266.350006,76.760002,64.879997,37.029999,738.1212370000002,10.74,141.820007
2013-01-10,21.799999,26.459999,192.880005,78.690002,96.860001,523.509979,265.339996,77.089996,64.779999,36.959999,741.481263,11.05,142.300003
2013-01-11,22.0,26.83,194.449997,76.660004,96.110001,520.300026,267.940002,75.160004,64.900002,36.91,739.99126,11.09,141.059998
2013-01-14,22.0,26.889999,192.619995,76.949997,96.800003,501.750015,272.730011,76.550003,64.239998,36.990002,723.25123,11.28,141.860001
2013-01-15,21.879999,27.209999,192.5,76.83000200000002,96.43,485.920013,271.899994,76.940002,64.440002,37.32,724.931273,11.23,141.119995
2013-01-16,22.110001,27.040001,192.589996,76.400002,94.639999,506.089981,268.929993,74.339996,64.790001,37.32,715.1912110000002,11.2,142.009995
2013-01-17,22.68,27.25,193.649994,76.709999,96.779999,502.68002300000006,270.480011,75.260002,65.139999,37.509998,711.321223,11.91,142.649994
2013-01-18,21.25,27.25,194.470001,76.870003,95.889999,500.000015,272.119995,75.040001,64.68,37.700001,704.5112349999998,12.7,144.28999299999995
2013-01-22,21.17,27.15,196.080002,77.93,94.830002,504.770004,270.190002,74.160004,64.68,37.130001,702.8711969999998,13.35,144.520004
2013-01-23,21.110001,27.610001,204.720001,77.879997,94.449997,514.010002,268.109985,74.290001,64.889999,37.130001,741.501296,13.25,143.330002
2013-01-24,20.950001,27.629999,204.419998,77.699997,95.739998,450.499977,273.459991,75.32,64.400002,37.110001,754.211317,13.52,144.070007
2013-01-25,20.959999,27.879999,204.970001,77.339996,96.099998,439.880001,283.98999,75.029999,63.66,37.049999,753.671274,14.41,143.029999
2013-01-28,21.049999,27.91,204.929993,77.339996,94.779999,449.830002,276.040009,74.0,63.669998,37.009998,750.731274,15.12,142.029999
2013-01-29,21.280001,28.01,203.899994,78.400002,95.599998,458.269981,260.350006,73.650002,63.450001,37.419998,753.681322,15.14,144.100006
2013-01-30,21.370001,27.85,203.520004,77.91999799999998,95.599998,456.830002,272.76001,74.589996,63.529999,37.5,753.831296,14.99,142.830002
2013-01-31,21.040001,27.450001,203.070007,78.720001,95.370003,455.48999800000007,265.5,73.870003,66.019997,37.240002,755.691272,14.94,142.199997
2013-02-01,21.360001,27.93,205.179993,79.389999,98.129997,453.619995,265.0,74.870003,66.730003,37.540001,775.601349,15.13,143.839996
2013-02-04,21.16,27.440001,203.789993,77.959999,97.830002,442.320004,259.980011,75.209999,65.639999,37.349998,759.021279,15.48,136.979996
2013-02-05,21.18,27.5,202.789993,77.93,98.860001,457.840012,266.890015,75.889999,66.949997,38.139999,765.741331,15.83,138.520004
2013-02-06,20.99,27.34,201.020004,77.849998,102.800003,457.350014,262.220001,76.290001,67.18,38.310001,770.171333,15.82,137.839996
2013-02-07,20.809999,27.280001,199.740005,77.290001,102.800003,468.220009,260.230011,77.43,66.540001,38.91,773.951324,15.13,137.389999
2013-02-08,21.0,27.549999,201.679993,77.940002,104.449997,474.980003,261.950012,76.559998,66.949997,38.77,785.3713690000002,14.92,137.380005
2013-02-11,21.030001,27.860001,200.160004,77.480003,105.93,479.93002300000006,257.209991,75.870003,67.18,38.610001,782.4213219999998,14.99,136.550003
2013-02-12,21.190001,27.879999,200.039993,77.529999,104.830002,467.900002,258.700012,75.989998,65.889999,37.560001,780.701335,14.68,136.970001
2013-02-13,21.25,28.030001,200.089996,78.529999,104.209999,467.009995,269.470001,74.779999,65.449997,37.209999,782.861321,14.21,137.220001
2013-02-14,21.23,28.040001,199.649994,80.190002,102.639999,466.590012,269.23999,74.93,65.529999,36.84,787.82138,14.23,137.110001
2013-02-15,21.120001,28.01,200.979996,79.559998,102.599998,460.16001100000005,265.089996,75.029999,65.43,37.419998,792.891346,14.34,136.860001
2013-02-19,21.09,28.049999,200.320007,80.459999,102.519997,459.990021,269.75,74.650002,65.66999799999999,37.669998,806.851398,14.65,135.990005
2013-02-20,20.73,27.870001,199.309998,77.059998,102.589996,448.850006,266.410004,74.779999,65.269997,37.73,792.461334,14.47,136.410004
2013-02-21,20.25,27.49,198.330002,74.970001,101.099998,446.060009,265.940002,76.010002,64.82,37.709999,795.531336,14.08,136.080002
2013-02-22,20.42,27.76,201.089996,75.769997,102.339996,450.80999800000006,265.420013,76.660004,64.940002,38.52,799.711381,14.07,138.259995
2013-02-25,20.23,27.370001,197.509995,74.410004,99.419998,442.799988,259.869995,75.029999,64.800003,37.720001,790.7713650000002,13.79,135.850006
2013-02-26,20.58,27.370001,199.139999,74.58000200000002,102.459999,448.970009,259.359985,75.650002,65.269997,38.110001,790.13134,14.04,136.589996
2013-02-27,20.93,27.809999,202.330002,75.540001,101.610001,444.569988,263.25,77.360001,65.639999,38.450001,799.781345,14.34,138.139999
2013-02-28,20.879999,27.799999,200.830002,74.860001,102.599998,441.400009,264.269989,76.900002,65.639999,38.720001,801.201384,14.58,136.979996
2013-03-01,21.030001,27.950001,202.910004,73.93,102.690002,430.470013,265.73999,77.279999,66.300003,38.700001,806.1914009999998,15.23,135.880005
2013-03-04,21.27,28.15,205.190002,73.620003,102.440002,420.049988,273.109985,77.089996,66.629997,38.82,821.501406,15.57,133.610001
